,Accuracy,Recall,Precision,Train time
tokenTfidf,0.4,0.0,0.0,0.08304810523986816
tokenTfidf,0.65,0.4,0.8,0.07654619216918945
tokenTfidf,0.55,0.1,1.0,0.08194994926452637
tokenTfidf,1.0,1.0,1.0,0.09793806076049805
tokenTfidf,0.45,0.5,0.45454545454545453,0.07377099990844727
tokenTfidf,0.85,0.7,1.0,0.09335088729858398
tokenTfidf,0.75,0.8,0.7272727272727273,0.09162116050720215
tokenTfidf,0.85,0.8,0.8888888888888888,0.08868908882141113
tokenTfidf,0.6,0.2,1.0,0.09114289283752441
tokenTfidf,0.55,0.1,1.0,0.08179211616516113
stopwords,0.4,0.0,0.0,0.08458304405212402
stopwords,0.65,0.4,0.8,0.07678508758544922
stopwords,0.6,0.2,1.0,0.07715702056884766
stopwords,0.85,0.8,0.8888888888888888,0.08388304710388184
stopwords,0.5,0.6,0.5,0.06928610801696777
stopwords,0.85,0.7,1.0,0.09126806259155273
stopwords,0.9,1.0,0.8333333333333334,0.08618307113647461
stopwords,0.85,0.7,1.0,0.08011412620544434
stopwords,0.7,0.4,1.0,0.07685685157775879
stopwords,0.5,0.0,0.0,0.07753801345825195
stopwordsTfidf,0.4,0.0,0.0,0.08509302139282227
stopwordsTfidf,0.55,0.4,0.5714285714285714,0.07470011711120605
stopwordsTfidf,0.55,0.1,1.0,0.08257484436035156
stopwordsTfidf,1.0,1.0,1.0,0.09923601150512695
stopwordsTfidf,0.45,0.5,0.45454545454545453,0.07261419296264648
stopwordsTfidf,0.8,0.6,1.0,0.09205317497253418
stopwordsTfidf,0.8,0.9,0.75,0.08965587615966797
stopwordsTfidf,0.95,0.9,1.0,0.0976400375366211
stopwordsTfidf,0.6,0.2,1.0,0.12655901908874512
stopwordsTfidf,0.55,0.1,1.0,0.0859060287475586
stemming,0.35,0.0,0.0,0.07920098304748535
stemming,0.7,0.6,0.75,0.0704951286315918
stemming,0.6,0.3,0.75,0.08232498168945312
stemming,0.9,1.0,0.8333333333333334,0.09284210205078125
stemming,0.65,0.8,0.6153846153846154,0.0787959098815918
stemming,0.8,0.9,0.75,0.0915689468383789
stemming,0.6,1.0,0.5555555555555556,0.09508800506591797
stemming,1.0,1.0,1.0,0.06911587715148926
stemming,0.55,0.2,0.6666666666666666,0.09373807907104492
stemming,0.45,0.2,0.4,0.09254002571105957
stemmingTfidf,0.35,0.0,0.0,0.08320808410644531
stemmingTfidf,0.9,0.8,1.0,0.09247183799743652
stemmingTfidf,0.5,0.1,0.5,0.07578897476196289
stemmingTfidf,0.65,0.4,0.8,0.0914309024810791
stemmingTfidf,0.75,0.8,0.7272727272727273,0.09276795387268066
stemmingTfidf,0.85,0.7,1.0,0.07190108299255371
stemmingTfidf,0.85,1.0,0.7692307692307693,0.09088802337646484
stemmingTfidf,0.85,0.7,1.0,0.08955097198486328
stemmingTfidf,0.55,0.2,0.6666666666666666,0.09382200241088867
stemmingTfidf,0.8,0.6,1.0,0.10439014434814453
stopNstem,0.35,0.0,0.0,0.08653402328491211
stopNstem,0.75,0.6,0.8571428571428571,0.07523393630981445
stopNstem,0.55,0.3,0.6,0.07646703720092773
stopNstem,0.9,1.0,0.8333333333333334,0.08566999435424805
stopNstem,0.45,0.4,0.4444444444444444,0.09461617469787598
stopNstem,0.85,1.0,0.7692307692307693,0.0981450080871582
stopNstem,0.65,1.0,0.5882352941176471,0.08413100242614746
stopNstem,1.0,1.0,1.0,0.07476687431335449
stopNstem,0.65,0.4,0.8,0.07918906211853027
stopNstem,0.6,0.2,1.0,0.0820779800415039
info_gain,0.4,0.0,0.0,0.018691062927246094
info_gain,0.5,0.1,0.5,0.01542806625366211
info_gain,0.55,0.3,0.6,0.018081188201904297
info_gain,0.85,0.8,0.8888888888888888,0.017904996871948242
info_gain,0.5,0.6,0.5,0.013592958450317383
info_gain,0.85,1.0,0.7692307692307693,0.020652055740356445
info_gain,0.75,1.0,0.6666666666666666,0.024566173553466797
info_gain,0.85,0.7,1.0,0.015413999557495117
info_gain,0.7,0.5,0.8333333333333334,0.017145872116088867
info_gain,0.5,0.0,0.0,0.017481088638305664
stopNstemTfidf,0.65,1.0,0.5882352941176471,0.08574104309082031
stopNstemTfidf,0.8,0.7,0.875,0.0832669734954834
stopNstemTfidf,0.5,0.1,0.5,0.07534003257751465
stopNstemTfidf,0.9,0.9,0.9,0.09745097160339355
stopNstemTfidf,0.75,0.8,0.7272727272727273,0.11891388893127441
stopNstemTfidf,0.85,0.7,1.0,0.09723019599914551
stopNstemTfidf,0.8,0.9,0.75,0.10657501220703125
stopNstemTfidf,0.85,0.8,0.8888888888888888,0.09697198867797852
stopNstemTfidf,0.6,0.2,1.0,0.13679003715515137
stopNstemTfidf,0.75,0.5,1.0,0.10399699211120605
token,0.4,0.0,0.0,0.08554697036743164
token,0.65,0.4,0.8,0.0856778621673584
token,0.45,0.2,0.4,0.08382201194763184
token,0.85,0.8,0.8888888888888888,0.09821200370788574
token,0.5,0.6,0.5,0.0702669620513916
token,0.85,1.0,0.7692307692307693,0.09392881393432617
token,0.7,1.0,0.625,0.08631706237792969
token,0.85,0.7,1.0,0.08416414260864258
token,0.8,0.6,1.0,0.0825350284576416
token,0.5,0.0,0.0,0.12420320510864258
