,Accuracy,Recall,Precision,Train time
tokenTfidf,0.55,1.0,0.5263157894736842,0.05501413345336914
tokenTfidf,0.7,0.4,1.0,0.05216789245605469
tokenTfidf,0.55,0.3,0.6,0.05243182182312012
tokenTfidf,0.6,0.2,1.0,0.05338788032531738
tokenTfidf,0.5,0.3,0.5,0.05365800857543945
tokenTfidf,0.6,0.3,0.75,0.05290699005126953
tokenTfidf,0.6,0.5,0.625,0.052935123443603516
tokenTfidf,0.6,0.5,0.625,0.051735877990722656
tokenTfidf,0.6,0.3,0.75,0.05172991752624512
tokenTfidf,0.6,1.0,0.5555555555555556,0.054270029067993164
stopwords,0.5,1.0,0.5,0.05924201011657715
stopwords,0.65,0.3,1.0,0.05944705009460449
stopwords,0.6,0.3,0.75,0.059567928314208984
stopwords,0.55,0.1,1.0,0.059098005294799805
stopwords,0.55,0.3,0.6,0.059417009353637695
stopwords,0.5,0.1,0.5,0.059046030044555664
stopwords,0.65,0.6,0.6666666666666666,0.059205055236816406
stopwords,0.7,0.6,0.75,0.0586240291595459
stopwords,0.55,0.1,1.0,0.059736013412475586
stopwords,0.6,1.0,0.5555555555555556,0.05931401252746582
stopwordsTfidf,0.55,1.0,0.5263157894736842,0.052529096603393555
stopwordsTfidf,0.7,0.4,1.0,0.05155611038208008
stopwordsTfidf,0.55,0.3,0.6,0.05233001708984375
stopwordsTfidf,0.6,0.2,1.0,0.05919003486633301
stopwordsTfidf,0.5,0.3,0.5,0.05194401741027832
stopwordsTfidf,0.6,0.3,0.75,0.055606842041015625
stopwordsTfidf,0.6,0.5,0.625,0.05245709419250488
stopwordsTfidf,0.6,0.5,0.625,0.07006597518920898
stopwordsTfidf,0.6,0.3,0.75,0.07893800735473633
stopwordsTfidf,0.6,1.0,0.5555555555555556,0.08549284934997559
stemming,0.5,1.0,0.5,0.05095100402832031
stemming,0.85,0.8,0.8888888888888888,0.047978878021240234
stemming,0.65,0.4,0.8,0.048750877380371094
stemming,0.65,0.3,1.0,0.04774808883666992
stemming,0.55,0.3,0.6,0.04847598075866699
stemming,0.5,0.1,0.5,0.07581782341003418
stemming,0.6,0.4,0.6666666666666666,0.05348491668701172
stemming,0.75,0.7,0.7777777777777778,0.09421920776367188
stemming,0.75,0.6,0.8571428571428571,0.06337499618530273
stemming,0.6,1.0,0.5555555555555556,0.058721065521240234
stemmingTfidf,0.5,1.0,0.5,0.0429689884185791
stemmingTfidf,0.85,0.8,0.8888888888888888,0.05680203437805176
stemmingTfidf,0.6,0.5,0.625,0.04305005073547363
stemmingTfidf,0.65,0.3,1.0,0.049215078353881836
stemmingTfidf,0.55,0.3,0.6,0.048254966735839844
stemmingTfidf,0.55,0.2,0.6666666666666666,0.08391714096069336
stemmingTfidf,0.6,0.4,0.6666666666666666,0.059823036193847656
stemmingTfidf,0.7,0.7,0.7,0.04263877868652344
stemmingTfidf,0.7,0.6,0.75,0.04235196113586426
stemmingTfidf,0.6,1.0,0.5555555555555556,0.049714088439941406
stopNstem,0.5,1.0,0.5,0.059324026107788086
stopNstem,0.85,0.8,0.8888888888888888,0.05696916580200195
stopNstem,0.65,0.4,0.8,0.061805009841918945
stopNstem,0.65,0.3,1.0,0.08537006378173828
stopNstem,0.55,0.3,0.6,0.06675100326538086
stopNstem,0.5,0.1,0.5,0.0634458065032959
stopNstem,0.6,0.4,0.6666666666666666,0.06132698059082031
stopNstem,0.75,0.7,0.7777777777777778,0.05336904525756836
stopNstem,0.75,0.6,0.8571428571428571,0.04761910438537598
stopNstem,0.6,1.0,0.5555555555555556,0.04822993278503418
info_gain,0.4,0.0,0.0,0.007940053939819336
info_gain,0.75,0.5,1.0,0.007879018783569336
info_gain,0.35,0.1,0.2,0.008711814880371094
info_gain,0.6,0.2,1.0,0.009170055389404297
info_gain,0.55,0.6,0.5454545454545454,0.008467912673950195
info_gain,0.5,0.8,0.5,0.008911848068237305
info_gain,0.75,0.7,0.7777777777777778,0.0100250244140625
info_gain,0.75,0.7,0.7777777777777778,0.008568048477172852
info_gain,0.5,0.0,0.0,0.00811004638671875
info_gain,0.55,0.8,0.5333333333333333,0.008328914642333984
stopNstemTfidf,0.5,1.0,0.5,0.041767120361328125
stopNstemTfidf,0.85,0.8,0.8888888888888888,0.04703497886657715
stopNstemTfidf,0.6,0.5,0.625,0.048562049865722656
stopNstemTfidf,0.65,0.3,1.0,0.05432891845703125
stopNstemTfidf,0.55,0.3,0.6,0.0473020076751709
stopNstemTfidf,0.55,0.2,0.6666666666666666,0.047057151794433594
stopNstemTfidf,0.6,0.4,0.6666666666666666,0.04302382469177246
stopNstemTfidf,0.7,0.7,0.7,0.04859185218811035
stopNstemTfidf,0.7,0.6,0.75,0.04774188995361328
stopNstemTfidf,0.6,1.0,0.5555555555555556,0.04952216148376465
token,0.5,1.0,0.5,0.07092523574829102
token,0.65,0.3,1.0,0.06706094741821289
token,0.6,0.3,0.75,0.13158607482910156
token,0.55,0.1,1.0,0.0690310001373291
token,0.55,0.3,0.6,0.0941929817199707
token,0.5,0.1,0.5,0.061431169509887695
token,0.65,0.6,0.6666666666666666,0.07447600364685059
token,0.7,0.6,0.75,0.06105995178222656
token,0.55,0.1,1.0,0.060559988021850586
token,0.6,1.0,0.5555555555555556,0.06795001029968262
