,Accuracy,Recall,Precision,Train time
tokenTfidf,0.35,0.0,0.0,0.5708308219909668
tokenTfidf,0.9,0.9,0.9,0.5695161819458008
tokenTfidf,0.55,0.6,0.5454545454545454,0.5786969661712646
tokenTfidf,0.9,1.0,0.8333333333333334,0.5715620517730713
tokenTfidf,0.55,0.8,0.5333333333333333,0.5702729225158691
tokenTfidf,0.55,1.0,0.5263157894736842,0.5718710422515869
tokenTfidf,0.55,1.0,0.5263157894736842,0.56461501121521
tokenTfidf,0.8,0.9,0.75,0.5708889961242676
tokenTfidf,0.85,0.7,1.0,0.5799951553344727
tokenTfidf,0.65,0.8,0.6153846153846154,0.5611429214477539
stopwords,0.5,0.0,0.0,0.5394940376281738
stopwords,0.9,0.8,1.0,0.5496160984039307
stopwords,0.55,0.1,1.0,0.535228967666626
stopwords,0.85,0.7,1.0,0.5513350963592529
stopwords,0.75,0.6,0.8571428571428571,0.5411360263824463
stopwords,0.8,0.6,1.0,0.5382959842681885
stopwords,0.55,0.1,1.0,0.5367438793182373
stopwords,0.6,0.2,1.0,0.5424880981445312
stopwords,0.55,0.1,1.0,0.5461809635162354
stopwords,0.9,1.0,0.8333333333333334,0.5381081104278564
stopwordsTfidf,0.35,0.0,0.0,0.5651431083679199
stopwordsTfidf,0.95,0.9,1.0,0.5635490417480469
stopwordsTfidf,0.5,0.1,0.5,0.5574419498443604
stopwordsTfidf,0.95,0.9,1.0,0.6003000736236572
stopwordsTfidf,0.7,0.8,0.6666666666666666,0.5633039474487305
stopwordsTfidf,0.65,0.9,0.6,0.6810028553009033
stopwordsTfidf,0.5,1.0,0.5,0.6256730556488037
stopwordsTfidf,0.8,0.8,0.8,0.7400698661804199
stopwordsTfidf,0.7,0.4,1.0,0.7055079936981201
stopwordsTfidf,0.9,1.0,0.8333333333333334,0.645205020904541
stemming,0.4,0.0,0.0,0.42838406562805176
stemming,0.9,0.9,0.9,0.4180440902709961
stemming,0.65,0.5,0.7142857142857143,0.4472949504852295
stemming,0.85,0.8,0.8888888888888888,0.5014979839324951
stemming,0.65,0.6,0.6666666666666666,0.4395599365234375
stemming,0.85,0.7,1.0,0.4702730178833008
stemming,0.65,0.4,0.8,0.5191359519958496
stemming,0.7,0.4,1.0,0.4591860771179199
stemming,0.7,0.4,1.0,0.4879639148712158
stemming,0.6,0.3,0.75,0.4869060516357422
stemmingTfidf,0.3,0.0,0.0,0.4669060707092285
stemmingTfidf,0.9,0.9,0.9,0.5376968383789062
stemmingTfidf,0.55,0.6,0.5454545454545454,0.4750709533691406
stemmingTfidf,0.9,1.0,0.8333333333333334,0.5406520366668701
stemmingTfidf,0.5,0.8,0.5,0.5424239635467529
stemmingTfidf,0.5,0.9,0.5,0.5545899868011475
stemmingTfidf,0.55,1.0,0.5263157894736842,0.5234959125518799
stemmingTfidf,0.8,0.9,0.75,0.47922706604003906
stemmingTfidf,0.85,0.7,1.0,0.5761821269989014
stemmingTfidf,0.7,0.8,0.6666666666666666,0.5684208869934082
stopNstem,0.4,0.0,0.0,0.4769458770751953
stopNstem,0.9,0.9,0.9,0.48079895973205566
stopNstem,0.65,0.5,0.7142857142857143,0.4981529712677002
stopNstem,0.85,0.8,0.8888888888888888,0.5477778911590576
stopNstem,0.65,0.6,0.6666666666666666,0.5200800895690918
stopNstem,0.85,0.7,1.0,0.5563459396362305
stopNstem,0.65,0.4,0.8,0.5048069953918457
stopNstem,0.7,0.4,1.0,0.4176139831542969
stopNstem,0.7,0.4,1.0,0.41455888748168945
stopNstem,0.6,0.3,0.75,0.4060328006744385
info_gain,0.5,0.0,0.0,0.07434606552124023
info_gain,0.85,0.7,1.0,0.09015393257141113
info_gain,0.65,0.5,0.7142857142857143,0.08222198486328125
info_gain,0.8,0.7,0.875,0.08375310897827148
info_gain,0.5,0.6,0.5,0.0751640796661377
info_gain,0.8,0.8,0.8,0.0805048942565918
info_gain,0.75,0.6,0.8571428571428571,0.09779000282287598
info_gain,0.7,0.5,0.8333333333333334,0.07670903205871582
info_gain,0.7,0.4,1.0,0.07805681228637695
info_gain,0.8,0.7,0.875,0.07566404342651367
stopNstemTfidf,0.3,0.0,0.0,0.4578399658203125
stopNstemTfidf,0.9,0.9,0.9,0.4906649589538574
stopNstemTfidf,0.55,0.6,0.5454545454545454,0.550663948059082
stopNstemTfidf,0.9,1.0,0.8333333333333334,0.5049870014190674
stopNstemTfidf,0.5,0.8,0.5,0.5597639083862305
stopNstemTfidf,0.5,0.9,0.5,0.5552761554718018
stopNstemTfidf,0.55,1.0,0.5263157894736842,0.4973289966583252
stopNstemTfidf,0.8,0.9,0.75,0.5532979965209961
stopNstemTfidf,0.85,0.7,1.0,0.6560068130493164
stopNstemTfidf,0.7,0.8,0.6666666666666666,0.519650936126709
token,0.4,0.0,0.0,0.5997889041900635
token,0.9,0.9,0.9,0.60561203956604
token,0.7,0.6,0.75,0.6265490055084229
token,0.9,0.9,0.9,0.626694917678833
token,0.7,0.6,0.75,0.5754399299621582
token,0.85,0.7,1.0,0.5446240901947021
token,0.65,0.4,0.8,0.5969932079315186
token,0.7,0.4,1.0,0.5645520687103271
token,0.7,0.4,1.0,0.552523136138916
token,0.7,0.6,0.75,0.6144521236419678
