Name,information_gain
5671,gb
9989,processor
5682,geforce
10701,requirements
6731,intel
10454,recommended
10281,radeon
515,amd
3678,directx
5900,graphics
10309,ram
5969,gtx
8848,nvidia
8233,minimum
10142,publisher
4186,electricity
13976,windows
6904,itch
8091,memory
7059,joinedfun
10353,ratingnão
925,astragon
13461,utilidade
6106,hazel
1242,beastadd
1055,avenge
12450,system
3638,dificuldades
5746,ghz
1083,award
14023,witcher
7849,maincommunityproductdetails
12698,thank
5756,giftadd
7677,located
12815,tiles
7598,linksofficial
9998,product
299,agodyskusje
8032,meantime
7314,kyros
6680,inserted
5351,freeduck
3661,dinâmica
8635,neither
6711,instance
5490,fx
3884,downloadable
10917,rights
5023,fighters
12135,storage
8708,ninjas
813,array
10871,rexic
3012,crop
11612,similar
13756,vram
10781,restarted
5269,fornecer
5930,grey
2487,commentary
10683,represent
5582,games
10213,qualquer
11921,special
214,adrenaline
10674,report
2794,controversas
7792,lv
7763,lual
12496,takedown
12639,terceira
5903,grasslands
1385,bit
7000,jit
1144,balasar
10005,productsmorescreenshots
2651,conforto
6006,gunmetal
7453,lego
14156,yearunlimited
6734,intelligence
6952,jamsdevlogscommunitydownload
7534,license
2659,conhecer
3574,devices
10549,registrations
4005,duo
8696,nightmare
13024,transport
6293,honest
13151,turn
12974,trademark
3197,darksiders
10732,reserved
2946,crawlerâ
4193,elemental
4490,espião
7801,lærke
12704,the
13982,windowswindows
1833,capcom
11947,spellforce
4425,era
11128,salad
11827,solved
1328,bestseller
5159,fleet
3718,discuss
2981,creeping
1285,bejeweled
633,anti
3716,discretion
9472,personaliza
6174,henry
10588,releaseddate
13457,usuáriosavaliação
6088,harshest
11339,seja
6911,iterating
11126,sake
2836,core
10203,qloc
14166,yo
1568,bra
4142,eduwebwolfquesta
2314,collectionagent
4350,enjoying
8431,motives
7318,lab
12583,techland
13965,will
8842,nutter
10719,research
6008,guns
10713,requires
13282,underworldgifwebspace
4412,epistory
5105,firaxis
3144,daedalic
3599,dhide
11109,sacrifice
8518,mutsumi
4201,elevations
484,alternatives
12778,thriller
10657,replacing
8920,officially
6469,images
12682,tests
5424,frontal
4784,faction
1388,bitcomposer
9351,path
3005,criterion
8444,mounted
13958,wilderness
12189,strings
12700,thanks
13683,visuais
7776,luis
14148,yamada
12529,tapes
3048,ctiatlsvci
7170,kalypso
7296,kraków
10760,resources
8564,name
10345,ratedhi
1046,avaliação
12157,storyr
7199,kenney
6248,hit
8674,newsletter
10034,programming
13460,utcgames
13820,warning
3333,deixou
1264,beer
6546,inc
4666,expanding
8673,newsies
12282,subscription
10198,públicosplay
2667,connection
5075,filters
11967,spin
12975,trademarks
2686,conseguia
1602,breveem
6346,hoursget
4844,fantástica
10525,refreshed
4670,expansionrock
1601,breve
3378,demooctopus
6813,invaded
8542,máximo
3816,documents
840,arts
4295,encorajado
329,agoplayed
3756,distrações
9903,prestigehotel
3336,dele
9748,popularstandard
2138,cibernéticas
9608,planetpatch
1651,browsebrowseplay
9647,playerunknown
3018,crouch
7975,masters
7224,kids
5264,forming
7289,kombat
527,amigosaceitar
3266,deathmatch
12294,successful
6994,jeu
9518,phobia
6835,invited
14159,yellowstoneaverage
301,agoexcellent
13569,versionsby
11887,spa
6742,intenso
2653,confrontations
8557,na
1525,boost
12208,studio
8779,nov
4379,entertainment
7707,lone
2531,compatibility
5806,glorious
4440,error
5359,freeknuckle
13072,trigger
617,anosplay
555,and
6369,https
11715,skywalker
10278,racionamento
3498,desperate
11304,sectors
8553,mínimos
6125,heal
12042,starflight
7096,joins
111,achieve
6383,humanos
10601,relive
12830,tin
12425,sweet
3492,desktop
10351,rating
12128,stoneem
8015,mb
6853,ioâ
7358,languages
9918,preço
10209,quaisquer
9426,perfect
7784,lurking
12037,star
8369,montreal
7969,massively
10189,pyramids
6986,jean
12125,stomach
673,apenas
10320,ran
12261,submissionslewd
5546,gameeducationalfightinginteractive
13944,whose
8705,nimbleness
5857,gorge
2952,creak
14070,workshopsteam
12209,studiomdhr
10428,recent
4259,emperor
11981,spooky
12716,their
8888,occupies
10087,protection
11247,screenif
1887,cartas
8688,nickwedigadd
2530,compassion
12073,staxel
13809,warhorse
10212,quality
5583,gamesadd
9253,parade
3588,devote
12909,torchlight
12605,telling
9239,pants
2219,client
3742,dispose
12283,subscriptions
1974,centenas
4166,egyptian
8217,mine
6001,guise
11391,separately
9577,pixel
9596,plague
13360,unscathed
2765,contos
5585,gamesblade
9156,overworld
7798,lynch
2345,collectionimpulse
3246,dd
5538,gamebeta
3647,digs
11274,seamy
5215,folder
7230,killers
712,appreciate
2532,compatible
1270,begin
12084,stealth
1177,bare
8539,mágico
2693,consequências
5235,foraging
11470,shadowmf
6897,itai
10163,pups
9432,performance
8509,music
5083,finalizar
410,alchemya
6398,hunter
4118,editionsfeaturesoverviewdescriptionsystem
